,"WEEDON 3:  LICHENOID DERMATITIS",,
"CP Number","Diagnosis","Chapter","No. in box"
1145,"lichen planus",3,1
278,"lichen planus, vesicular",3,2
2116,"lichen planus, hypertrophic",3,3
116,"lichen planus, oral",3,4
1801,"erythema dyschromicum perstans, active inflammatory",3,5
337,"erythema dyschromicum perstans, inactive late",3,6
217,"lichen planopilaris",3,7
2240,"lichen nitidus",3,8
830,"lichen striatus",3,9
3215,"lichen striatus with prominent adnexal involvement",3,10
5539,"benign lichenoid keratosis",3,11
4840,"lichenoid drug eruption, due to gold",3,12
1258,"fixed drug eruption",3,13
748,"fixed drug eruption, old inactive",3,14
3343,"erythema multiforme",3,15
2241,"graft-vs-host disease",3,16
435,"graft-vs-host disease, complete necrosis of epidermis",3,17
3602,"graft-vs-host disease, somewhat lichenoid",3,18
4545,"graft-vs-host disease, vesicular",3,19
3404,"graft-vs-host disease, sclerodermoid",3,20
746,"lupus erythematosus, acute",3,29
5175,"lupus erythematosus, subacute",3,30
2958,"lupus erythematosus, discoid",3,31
5187,"lupus erythematosus with mucin and thickened BMZ (clinically discoid)",3,32
5430,"lupus erythematosus, discoid; PAS with thickened BMZ",3,33
5064,"lupus erythematosus, discoid, verrucous",3,34
3430,"lupus erythematosus, tumid",3,35
2994,"lupus erythematosus, discoid with LE panniculitis",3,36
1912,"lupus erythematosus, bullous",3,37
2454,"lupus erythematosus, bullous, virtually no PMNs",3,38
1040,"dermatomyositis, non-specific histology",3,39
2383,"dermatomyositis, LE-like, with thickened BMZ",3,40
"5420A","gottron's papule, 11 year old (H&E)",3,"41A"
"5420B","gottron's papule, 11 year old (Alcian blue)",3,"41B"
3385,"baller-gerold syndrome with poikiloderma",3,42
3645,"pityriasis lichenoides et varioliformis acuta",3,43
5005,"paraneoplastic pemphigus, EM-like",3,44
1276,"secondary syphilis, lichenoid",3,45
438,"amyloidosis, macular / lichenoid",3,46
839,"tattoo with lichenoid lymphocytic infiltrate",3,47
2321,"pityriasis lichenoides et varioliformis acuta",3,48
484,"lupus erythematosus panniculitis",3,"U"
72,"dermatomyositis with dermal mucin",3,"U"
213,"rothmund-thomsen syndrome",3,"U"
542,"lichenoid drug reaction due to thiazide",3,"U"
634,"erythema multiforme",3,"U"
968,"lichenoid drug reaction, don't know drug",3,"U"
1067,"lichen planus, hypertrophic; subsiding in some areas",3,"U"
1168,"lichen nitidus",3,"U"
1597,"lichen planus, hypertrophic; subsiding in some areas",3,"U"
1665,"lichen planopilaris",3,"U"
1787,"amyloidosis, macular / lichenoid",3,"U"
2031,"lupus erythematosus, subacute",3,"U"
2505,"lichen planus",3,"U"
2996,"lupus erythematosus, neonatal ",3,"U"
3081,"lichen striatus",3,"U"
3150,"graft-vs-host disease, sclerodermoid",3,"U"
3468,"erythema dyschromicum perstans",3,"U"
3974,"graft-vs-host disease",3,"U"
3993,"lupus erythematosus, tumid",3,"U"
4216,"secondary syphilis, lichenoid",3,"U"
4505,"graft-vs-host disease, sclerodermoid",3,"U"
4980,"dermatomyositis",3,"U"
5222,"lichen striatus",3,"U"
5458,"lichenoid drug reaction, don't know drug",3,"U"
5669,"lupus erythematosus, discoid",3,"U"
5787,"dermatomyositis, with mucin",3,"U"
5899,"lupus erythematosus, discoid; big excision",3,"U"
5987,"erythema multiforme",3,"U"
6195,"lupus erythematosus, discoid; big excision",3,"U"
6395,"erythema dyschromicum perstans",3,"U"
4236,"lichen planus, vesicular (clinically vesicular)",3,"E"
5331,"poikiloderma of civatte",3,"E"
5462,"lupus erythematosus, neonatal (5 week old)",3,"E"
5650,"lupus erythematosus, discoid, somewhat lichenoid",3,"E"
5668,"graft-vs-host disease, follicular involvement",3,"E"
5877,"lupus erythematosus, discoid; PAS with thickened BMZ; scarring alopecia",3,"E"
5959,"graft-vs-host disease, lichenoid",3,"E"
6577,"lupus erythematosus, subacute",3,"E"
6651,"fixed drug eruption",3,"E"
6726,"lupus erythematosus, subacute",3,"E"
,,,
,"WEEDON 4:  PSORIASIFORM DERMATITIS",,
"CP Number","Diagnosis","Chapter","No. in box"
1081,"psoriasis vulgaris, early ",4,1
5540,"psoriasis vulgaris, mature",4,2
823,"pustular psoriasis, localized, palm",4,4
561,"pustular psoriasis, generalized",4,5
2003,"reiter's disease",4,6
3361,"reiter's disease, foot",4,7
2433,"geographic tongue",4,8
4933,"pityriasis rubra pilaris",4,9
5541,"subacute dermatitis (spongiotic + psoriasiform)",4,10
5470,"chronic dermatitis (psoriasiform)",4,11
3582,"psoriasis, erythrodermic with pustules",4,12
187,"mycosis fungoides",4,13
1279,"inflammatory linear verrucous epidermal nevus",4,14
2470,"scabies, norwegian",4,15
5278,"clear cell acanthoma",4,16
5159,"pellagra",4,17
5472,"stasis dermatitis, severe (~55 y/o with congenital heart disease, lifelong stasis)",4,18
4382,"secondary syphilis, somewhat psoriasiform, many PMNs",4,19
764,"inflammatory linear verrucous epidermal nevus",4,"U"
